Wall time,Step,Value
1679723102.9380777,1,0.4020000100135803
1679723760.1841426,2,0.8949999809265137
1679724360.8441112,3,0.9714999794960022
1679724937.520909,4,0.9865000247955322
1679725515.943421,5,0.9894999861717224
